Iteration: χI = 1.5000090831816786; χE = 0.6500039360453941; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.4999909168183214; χE = 0.649996063954606; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6500090831816786; χS = 0.5678240266874435; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6499909168183214; χS = 0.5678081572206027; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0763055174795715; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0762924825204283; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.020006055454452394
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.019993944545547607
Iteration: χI = 1.5000090831816786; χE = 0.6500039360453941; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.4999909168183214; χE = 0.649996063954606; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6500090831816786; χS = 0.5678240266874435; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6499909168183214; χS = 0.5678081572206027; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0763055174795715; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0762924825204283; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.020006055454452394
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.019993944545547607
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5000090831816786; χE = 0.6500039360453941; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.4999909168183214; χE = 0.649996063954606; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6500090831816786; χS = 0.5678240266874435; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.6499909168183214; χS = 0.5678081572206027; λ = 1.076299; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0763055174795715; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.0762924825204283; ν = 0.02
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.020006055454452394
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.019993944545547607
Iteration: χI = 1.5; χE = 0.65; χS = 0.567816091954023; λ = 1.076299; ν = 0.02
Iteration: χI = 1.4966809206511895; χE = 0.6284804966013183; χS = 0.5502349609708668; λ = 1.0789832181511658; ν = 0.020375073712448396
Iteration: χI = 1.4966627945946613; χE = 0.6284728851773661; χS = 0.5502349609708668; λ = 1.0789832181511658; ν = 0.020375073712448396
Iteration: χI = 1.4966718576229254; χE = 0.6284857539176062; χS = 0.5502428957042872; λ = 1.0789832181511658; ν = 0.020375073712448396
Iteration: χI = 1.4966718576229254; χE = 0.6284676278610782; χS = 0.5502270262374465; λ = 1.0789832181511658; ν = 0.020375073712448396
Iteration: χI = 1.4966718576229254; χE = 0.6284766908893422; χS = 0.5502349609708668; λ = 1.0789897518848983; ν = 0.020375073712448396
Iteration: χI = 1.4966718576229254; χE = 0.6284766908893422; χS = 0.5502349609708668; λ = 1.0789766844174333; ν = 0.020375073712448396
Iteration: χI = 1.4966718576229254; χE = 0.6284766908893422; χS = 0.5502349609708668; λ = 1.0789832181511658; ν = 0.02038112916690079
Iteration: χI = 1.4966718576229254; χE = 0.6284766908893422; χS = 0.5502349609708668; λ = 1.0789832181511658; ν = 0.020369018257996002
Iteration: χI = 1.4966718576229254; χE = 0.6284766908893422; χS = 0.5502349609708668; λ = 1.0789832181511658; ν = 0.020375073712448396
Iteration: χI = 1.4998628513105134; χE = 0.649056369391452; χS = 0.5670436171552974; λ = 1.0764169384237592; ν = 0.020016479883507406
Iteration: χI = 1.4998446867181463; χE = 0.6490485087764877; χS = 0.5670436171552974; λ = 1.0764169384237592; ν = 0.020016479883507406
Iteration: χI = 1.4998537690143299; χE = 0.6490615213801533; χS = 0.5670515518887178; λ = 1.0764169384237592; ν = 0.020016479883507406
Iteration: χI = 1.4998537690143299; χE = 0.6490433567877864; χS = 0.5670356824218771; λ = 1.0764169384237592; ν = 0.020016479883507406
Iteration: χI = 1.4998537690143299; χE = 0.6490524390839698; χS = 0.5670436171552974; λ = 1.0764234566175015; ν = 0.020016479883507406
Iteration: χI = 1.4998537690143299; χE = 0.6490524390839698; χS = 0.5670436171552974; λ = 1.0764104202300169; ν = 0.020016479883507406
Iteration: χI = 1.4998537690143299; χE = 0.6490524390839698; χS = 0.5670436171552974; λ = 1.0764169384237592; ν = 0.0200225353379598
Iteration: χI = 1.4998537690143299; χE = 0.6490524390839698; χS = 0.5670436171552974; λ = 1.0764169384237592; ν = 0.020010424429055013
Iteration: χI = 1.4998537690143299; χE = 0.6490524390839698; χS = 0.5670436171552974; λ = 1.0764169384237592; ν = 0.020016479883507406
Iteration: χI = 1.4982718859808515; χE = 0.6387582288162851; χS = 0.5586392890630821; λ = 1.0777000782874624; ν = 0.0201957767979779
Iteration: χI = 1.498253740656404; χE = 0.6387504929204081; χS = 0.5586392890630821; λ = 1.0777000782874624; ν = 0.0201957767979779
Iteration: χI = 1.4982628133186278; χE = 0.6387634335305703; χS = 0.5586472237965024; λ = 1.0777000782874624; ν = 0.0201957767979779
Iteration: χI = 1.4982628133186278; χE = 0.6387452882061229; χS = 0.5586313543296618; λ = 1.0777000782874624; ν = 0.0201957767979779
Iteration: χI = 1.4982628133186278; χE = 0.6387543608683466; χS = 0.5586392890630821; λ = 1.0777066042511998; ν = 0.0201957767979779
Iteration: χI = 1.4982628133186278; χE = 0.6387543608683466; χS = 0.5586392890630821; λ = 1.077693552323725; ν = 0.0201957767979779
Iteration: χI = 1.4982628133186278; χE = 0.6387543608683466; χS = 0.5586392890630821; λ = 1.0777000782874624; ν = 0.020201832252430295
Iteration: χI = 1.4982628133186278; χE = 0.6387543608683466; χS = 0.5586392890630821; λ = 1.0777000782874624; ν = 0.020189721343525507
Iteration: χI = 1.4982628133186278; χE = 0.6387543608683466; χS = 0.5586392890630821; λ = 1.0777000782874624; ν = 0.0201957767979779
Iteration: χI = 1.498774278207914; χE = 0.6420079527533042; χS = 0.5612931929719183; λ = 1.07729489064337; ν = 0.02013915873441179
Iteration: χI = 1.4987561267990768; χE = 0.6420001775005549; χS = 0.5612931929719183; λ = 1.07729489064337; ν = 0.02013915873441179
Iteration: χI = 1.4987652025034954; χE = 0.6420131408313481; χS = 0.5613011277053386; λ = 1.07729489064337; ν = 0.02013915873441179
Iteration: χI = 1.4987652025034954; χE = 0.641994989422511; χS = 0.561285258238498; λ = 1.07729489064337; ν = 0.02013915873441179
Iteration: χI = 1.4987652025034954; χE = 0.6420040651269295; χS = 0.5612931929719183; λ = 1.077301414153512; ν = 0.02013915873441179
Iteration: χI = 1.4987652025034954; χE = 0.6420040651269295; χS = 0.5612931929719183; λ = 1.0772883671332278; ν = 0.02013915873441179
Iteration: χI = 1.4987652025034954; χE = 0.6420040651269295; χS = 0.5612931929719183; λ = 1.07729489064337; ν = 0.020145214188864183
Iteration: χI = 1.4987652025034954; χE = 0.6420040651269295; χS = 0.5612931929719183; λ = 1.07729489064337; ν = 0.020133103279959395
Iteration: χI = 1.4987652025034954; χE = 0.6420040651269295; χS = 0.5612931929719183; λ = 1.07729489064337; ν = 0.02013915873441179
Iteration: χI = 1.4984867818147196; χE = 0.6401480333715586; χS = 0.5597744835640597; λ = 1.0775267612416166; ν = 0.020171558696409773
Iteration: χI = 1.4984686338877038; χE = 0.640140280643987; χS = 0.5597744835640597; λ = 1.0775267612416166; ν = 0.020171558696409773
Iteration: χI = 1.4984777078512117; χE = 0.6401532309712805; χS = 0.55978241829748; λ = 1.0775267612416166; ν = 0.020171558696409773
Iteration: χI = 1.4984777078512117; χE = 0.640135083044265; χS = 0.5597665488306394; λ = 1.0775267612416166; ν = 0.020171558696409773
Iteration: χI = 1.4984777078512117; χE = 0.6401441570077728; χS = 0.5597744835640597; λ = 1.0775332861558407; ν = 0.020171558696409773
Iteration: χI = 1.4984777078512117; χE = 0.6401441570077728; χS = 0.5597744835640597; λ = 1.0775202363273926; ν = 0.020171558696409773
Iteration: χI = 1.4984777078512117; χE = 0.6401441570077728; χS = 0.5597744835640597; λ = 1.0775267612416166; ν = 0.020177614150862166
Iteration: χI = 1.4984777078512117; χE = 0.6401441570077728; χS = 0.5597744835640597; λ = 1.0775267612416166; ν = 0.02016550324195738
Iteration: χI = 1.4984777078512117; χE = 0.6401441570077728; χS = 0.5597744835640597; λ = 1.0775267612416166; ν = 0.020171558696409773
Iteration: χI = 1.498222659445938; χE = 0.5368433445543283; χS = 0.4695229346090579; λ = 1.091275253568635; ν = 0.022097253470129537
Iteration: χI = 1.4982045147176648; χE = 0.5368368429328564; χS = 0.4695229346090579; λ = 1.091275253568635; ν = 0.022097253470129537
Iteration: χI = 1.4982135870818014; χE = 0.5368491661077288; χS = 0.46953086934247823; λ = 1.091275253568635; ν = 0.022097253470129537
Iteration: χI = 1.4982135870818014; χE = 0.5368310213794558; χS = 0.46951499987563755; λ = 1.091275253568635; ν = 0.022097253470129537
Iteration: χI = 1.4982135870818014; χE = 0.5368400937435923; χS = 0.4695229346090579; λ = 1.0912818617362279; ν = 0.022097253470129537
Iteration: χI = 1.4982135870818014; χE = 0.5368400937435923; χS = 0.4695229346090579; λ = 1.091268645401042; ν = 0.022097253470129537
Iteration: χI = 1.4982135870818014; χE = 0.5368400937435923; χS = 0.4695229346090579; λ = 1.091275253568635; ν = 0.02210330892458193
Iteration: χI = 1.4982135870818014; χE = 0.5368400937435923; χS = 0.4695229346090579; λ = 1.091275253568635; ν = 0.022091198015677143
Iteration: χI = 1.4982135870818014; χE = 0.5368400937435923; χS = 0.4695229346090579; λ = 1.091275253568635; ν = 0.022097253470129537
Iteration: χI = 1.498377753877156; χE = 0.597500142983433; χS = 0.5225192511130601; λ = 1.083202046413168; ν = 0.020966472548363434
Iteration: χI = 1.49835960727056; χE = 0.5974929067574495; χS = 0.5225192511130601; λ = 1.083202046413168; ν = 0.020966472548363434
Iteration: χI = 1.498368680573858; χE = 0.5975055981737393; χS = 0.5225271858464804; λ = 1.083202046413168; ν = 0.020966472548363434
Iteration: χI = 1.498368680573858; χE = 0.5974874515671432; χS = 0.5225113163796398; λ = 1.083202046413168; ν = 0.020966472548363434
Iteration: χI = 1.498368680573858; χE = 0.5974965248704412; χS = 0.5225192511130601; λ = 1.0832086056938228; ν = 0.020966472548363434
Iteration: χI = 1.498368680573858; χE = 0.5974965248704412; χS = 0.5225192511130601; λ = 1.0831954871325131; ν = 0.020966472548363434
Iteration: χI = 1.498368680573858; χE = 0.5974965248704412; χS = 0.5225192511130601; λ = 1.083202046413168; ν = 0.020972528002815828
Iteration: χI = 1.498368680573858; χE = 0.5974965248704412; χS = 0.5225192511130601; λ = 1.083202046413168; ν = 0.02096041709391104
Iteration: χI = 1.498368680573858; χE = 0.5974965248704412; χS = 0.5225192511130601; λ = 1.083202046413168; ν = 0.020966472548363434
Iteration: χI = 1.498382541154031; χE = 0.5809067343301993; χS = 0.5080065428774393; λ = 1.0857974813540474; ν = 0.021295559942237887
Iteration: χI = 1.498364394489457; χE = 0.5808996990642594; χS = 0.5080065428774393; λ = 1.0857974813540474; ν = 0.021295559942237887
Iteration: χI = 1.498373467821744; χE = 0.5809122900295164; χS = 0.5080144776108596; λ = 1.0857974813540474; ν = 0.021295559942237887
Iteration: χI = 1.498373467821744; χE = 0.5808941433649424; χS = 0.5079986081440189; λ = 1.0857974813540474; ν = 0.021295559942237887
Iteration: χI = 1.498373467821744; χE = 0.5809032166972294; χS = 0.5080065428774393; λ = 1.0858040563512403; ν = 0.021295559942237887
Iteration: χI = 1.498373467821744; χE = 0.5809032166972294; χS = 0.5080065428774393; λ = 1.0857909063568545; ν = 0.021295559942237887
Iteration: χI = 1.498373467821744; χE = 0.5809032166972294; χS = 0.5080065428774393; λ = 1.0857974813540474; ν = 0.02130161539669028
Iteration: χI = 1.498373467821744; χE = 0.5809032166972294; χS = 0.5080065428774393; λ = 1.0857974813540474; ν = 0.021289504487785493
Iteration: χI = 1.498373467821744; χE = 0.5809032166972294; χS = 0.5080065428774393; λ = 1.0857974813540474; ν = 0.021295559942237887
Iteration: χI = 1.4984016902615303; χE = 0.5145320392887257; χS = 0.4499557099349559; λ = 1.096179221117565; ν = 0.022611909517735704
Iteration: χI = 1.4983835433650443; χE = 0.5145258078758033; χS = 0.4499557099349559; λ = 1.096179221117565; ν = 0.022611909517735704
Iteration: χI = 1.4983926168132873; χE = 0.5145379970305073; χS = 0.44996364466837624; λ = 1.096179221117565; ν = 0.022611909517735704
Iteration: χI = 1.4983926168132873; χE = 0.5145198501340216; χS = 0.44994777520153556; λ = 1.096179221117565; ν = 0.022611909517735704
Iteration: χI = 1.4983926168132873; χE = 0.5145289235822644; χS = 0.4499557099349559; λ = 1.0961858589809101; ν = 0.022611909517735704
Iteration: χI = 1.4983926168132873; χE = 0.5145289235822644; χS = 0.4499557099349559; λ = 1.0961725832542197; ν = 0.022611909517735704
Iteration: χI = 1.4983926168132873; χE = 0.5145289235822644; χS = 0.4499557099349559; λ = 1.096179221117565; ν = 0.022617964972188098
Iteration: χI = 1.4983926168132873; χE = 0.5145289235822644; χS = 0.4499557099349559; λ = 1.096179221117565; ν = 0.02260585406328331
Iteration: χI = 1.4983926168132873; χE = 0.5145289235822644; χS = 0.4499557099349559; λ = 1.096179221117565; ν = 0.022611909517735704
Iteration: χI = 1.4984076743576236; χE = 0.49378959913515086; χS = 0.43181482464042986; λ = 1.099423514793664; ν = 0.023023268760078774
Iteration: χI = 1.4983895273886654; χE = 0.4937836189305105; χS = 0.43181482464042986; λ = 1.099423514793664; ν = 0.023023268760078774
Iteration: χI = 1.4983986008731445; χE = 0.49379568251730976; χS = 0.43182275937385023; λ = 1.099423514793664; ν = 0.023023268760078774
Iteration: χI = 1.4983986008731445; χE = 0.4937775355483516; χS = 0.43180688990700955; λ = 1.099423514793664; ν = 0.023023268760078774
Iteration: χI = 1.4983986008731445; χE = 0.49378660903283067; χS = 0.43181482464042986; λ = 1.0994301723026816; ν = 0.023023268760078774
Iteration: χI = 1.4983986008731445; χE = 0.49378660903283067; χS = 0.43181482464042986; λ = 1.0994168572846463; ν = 0.023023268760078774
Iteration: χI = 1.4983986008731445; χE = 0.49378660903283067; χS = 0.43181482464042986; λ = 1.099423514793664; ν = 0.023029324214531167
